ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	Tissue	Gender	group	direction
GO:0001819	positive regulation of cytokine production	139/1285	414/12665	0.335748792270531	3.30915054794263	16.0521249846907	5.087742053736e-40	2.67004702980065e-36	1.87871569731641e-36	Aif1/Aim2/Anxa1/App/Arhgef2/Batf/Brca1/Btk/C3ar1/C5ar1/Camp/Card11/Card9/Casp1/Casp4/Ccdc88b/Ccl2/Ccl3/Ccl4/Ccl5/Ccr2/Ccr5/Cd14/Cd1d2/Cd244a/Cd274/Cd28/Cd300c2/Cd3e/Cd40/Cd74/Cd83/Cd84/Chi3l1/Chil3/Clec4e/Clec4n/Clec5a/Clec7a/Clu/Csf1r/Cx3cl1/Cyba/Cybb/Cyp1b1/Cyrib/Egr1/Elane/F2rl1/Fcer1g/Fcgr3/Fcna/Fgr/Flt4/Gbp5/Gdf2/Gimap3/Gpsm3/Grk2/H2-M3/Havcr2/Heg1/Hgf/Hilpda/Hk1/Hmgb2/Hpse/Icosl/Ifi206/Ifi207/Ifi208/Ifi209/Ifngr1/Il1a/Il1b/Il36g/Irak3/Irf4/Irf7/Irf8/Itk/Klrk1/Laptm5/Lilra5/Lpl/Ltb/Lum/Ly9/Mbp/Mcoln2/Mefv/Mmp12/Mmp8/Nfam1/Nlrp3/Oas1a/Oas1g/Oas3/P2rx7/Panx1/Pde4d/Plcg2/Pou2af1/Pou2f2/Ptafr/Ptger4/Ptpn22/Ptprc/Pycard/Rab7b/Rasgrp1/Rftn1/Rsad2/Runx1/Sash3/Scimp/Serpine1/Slamf6/Slc11a1/Slc7a5/Sorl1/Spn/Sting1/Syk/Tgfb1/Thbs1/Ticam2/Tlr1/Tlr4/Tlr6/Tlr7/Tlr8/Tlr9/Tmem106a/Tnf/Trem2/Tut4/Tyrobp/Usp22	139	Liver	Male	WT	Up
GO:0002250	adaptive immune response	127/1285	375/12665	0.338666666666667	3.33790920881971	15.4430549852844	5.26400039198787e-37	1.38127370285762e-33	9.71900703952287e-34	Adcy7/Adgre1/Anxa1/Arg2/Batf/Btk/C1qa/C1qb/C1qc/C3ar1/Card9/Ccr2/Cd1d2/Cd244a/Cd24a/Cd274/Cd28/Cd3e/Cd3g/Cd40/Cd44/Cd7/Cd74/Cd79b/Cd80/Cd84/Cd86/Cd8a/Cd8b1/Clcf1/Clec4a2/Clec4d/Clec4n/Clec7a/Csf2rb/Csf2rb2/Csf3r/Ctsc/Cyrib/Emp2/Enpp1/Fcer1g/Fcgr1/Fcgr3/Fcgr4/Fgl2/Fyn/Gimap3/Gzmb/H2-D1/H2-DMa/H2-DMb1/H2-M2/H2-M3/H2-Q1/H2-Q4/H2-Q6/H2-T10/Havcr2/Icosl/Il18bp/Il18rap/Il1b/Il21r/Il2rb/Il7r/Inpp5d/Irf4/Irf7/Itk/Jchain/Kcnj8/Klhl6/Klrk1/Ly9/Lyn/Mcoln2/Mef2c/Mpeg1/Myo1g/Nckap1l/Nlrp3/Notch1/P2rx7/Pf4/Pik3cd/Pirb/Pkn1/Pla2g4a/Pou2f2/Prdm1/Prkcb/Prkcd/Ptpn6/Ptprc/Pycard/Rab27a/Rftn1/Ripk3/Rnf125/Rsad2/Samsn1/Sash3/Serpina3g/Sh2d1b1/Slamf6/Slamf7/Slc11a1/Slfn1/Slfn2/Spn/Stx11/Svep1/Swap70/Syk/Tgfb1/Tnf/Tnfaip3/Tnfrsf11a/Tnfrsf13b/Tnfrsf1b/Tnfrsf21/Tnfsf13/Trem2/Treml4/Vsir/Was	127	Liver	Male	WT	Up
GO:0002443	leukocyte mediated immunity	120/1285	342/12665	0.350877192982456	3.45825653628234	15.4863088062159	1.03859906255317e-36	1.81685596009302e-33	1.27838789874966e-33	Abr/Ace/Anxa3/Batf/Btk/C1qa/C1qb/C1qc/Card9/Cbl/Ccl2/Ccl3/Ccr2/Cd177/Cd1d2/Cd24a/Cd274/Cd28/Cd300a/Cd300lb/Cd40/Cd74/Cd80/Cd84/Cd8a/Clcf1/Clec7a/Coro1a/Cplx2/Csf2rb/Csf2rb2/Csf3r/Ctsc/Cyrib/Elane/Emp2/Enpp1/F2rl1/Fcer1g/Fcgr1/Fcgr3/Fcgr4/Fgl2/Fgr/Gab2/Gimap3/Gzmb/H2-D1/H2-DMa/H2-M2/H2-M3/H2-Q1/H2-Q4/H2-Q6/H2-T10/Havcr2/Hcst/Hmox1/Icosl/Il18rap/Il1b/Il21r/Il2rb/Il7r/Inpp5d/Irf7/Itgam/Itgb2/Klrk1/Lyn/Milr1/Myo1f/Myo1g/Ncf1/Nckap1l/Nkg7/Nlrp3/P2rx7/Pik3r6/Pirb/Plcg2/Plekhm2/Pou2f2/Pram1/Prkcd/Ptafr/Ptpn6/Ptprc/Rab27a/Rac2/Rasgrp1/Rftn1/Ripk3/Rsad2/Sash3/Scimp/Sh2d1b1/Slamf6/Slamf9/Slc11a1/Slfn2/Spi1/Spn/Stx11/Svep1/Swap70/Syk/Tgfb1/Tlr4/Tlr9/Tnf/Tnfrsf1b/Tnfsf13/Trem2/Treml4/Tyrobp/Vav1/Vsir/Was/Wdr1	120	Liver	Male	WT	Up
GO:0050900	leukocyte migration	110/1285	302/12665	0.364238410596026	3.58994511299508	15.3072784027643	2.15249903905686e-35	2.8240787392426e-32	1.98709648131881e-32	Abr/Aif1/Akt1/Alox5/Ano6/Anxa1/App/Asb2/C3ar1/C5ar1/Ccl2/Ccl24/Ccl3/Ccl4/Ccl5/Ccl6/Ccr1/Ccr2/Cd177/Cd24a/Cd300a/Cd74/Cmklr1/Coro1a/Csf1r/Csf3r/Cx3cl1/Cxcl13/Cxcl14/Cxcl16/Cxcl9/Cxcr2/Cxcr3/Ednra/Elane/Emp2/Enpp1/Eps8/F2rl1/Fcer1g/Fcgr3/Flt1/Fpr2/Fut4/Gcnt1/Gpr35/Gpsm3/Il1a/Il1b/Itga9/Itgal/Itgam/Itgb2/Itgb3/Itgb7/Jam2/Klrk1/Lgals3/Lgmn/Lyn/Lyve1/Mcoln2/Mmp14/Mmp2/Mmp9/Msn/Myo1f/Myo1g/Myo9b/Nckap1l/Nedd9/Nlrp3/P2ry12/Pde4d/Pdgfb/Pecam1/Pf4/Pla2g7/Ppbp/Prex1/Ptafr/Ptger4/Ptpn22/Ptpro/Pycard/Rac2/Ripk3/S100a8/S100a9/Sell/Selplg/Serpine1/Sirpa/Slamf8/Slamf9/Spi1/Spn/Stk10/Stk39/Swap70/Syk/Tgfb1/Thbs1/Tnf/Trem2/Trpm2/Vav1/Vav3/Vcam1/Wdr1	110	Liver	Male	WT	Up
GO:0002274	myeloid leukocyte activation	89/1285	208/12665	0.427884615384615	4.21724408859623	15.7208068024257	4.30176452238437e-35	4.51513204269464e-32	3.1769663041104e-32	Abr/Adgrf5/Aif1/Anxa1/Anxa3/App/Batf/Btk/C1qa/C5ar1/Calhm2/Camp/Casp1/Cbl/Ccl3/Ccl5/Ccr2/Cd177/Cd244a/Cd300a/Cd300lb/Cd300lf/Cd37/Cd48/Cd84/Clec4d/Clu/Cplx2/Csf1r/Ctsc/Cx3cl1/Cxcr2/Dock2/Epsti1/F2rl1/Fcer1g/Fcgr3/Fcgr4/Fgr/Gab2/Gimap3/Gpr137b/Havcr2/Hmox1/Ifngr1/Ifngr2/Il18rap/Irf4/Itgam/Itgb2/Kcnj8/Klrk1/Lcp2/Lyn/Milr1/Mmp8/Myo1f/Pilrb1/Pirb/Pla2g4a/Plcg2/Pram1/Prkcd/Ptafr/Ptpn6/Ptpre/Pycard/Rac2/Rasgrp1/Rhoh/Slc11a1/Spi1/Stk39/Stx11/Syk/Tgfb1/Tgfbr2/Thbs1/Tlr1/Tlr4/Tlr6/Tlr9/Tmem106a/Tmem229b/Tnf/Trem2/Tspan32/Tyrobp/Ubd	89	Liver	Male	WT	Up
GO:0042110	T cell activation	145/1285	491/12665	0.295315682281059	2.91064055726818	14.5100521520971	1.46646345728367e-34	1.28266670397078e-31	9.02518211956337e-32	Aif1/Anxa1/Apbb1ip/Arg2/Batf/Bcl2a1d/Card11/Ccdc88b/Ccl2/Ccl5/Ccr2/Cd1d2/Cd244a/Cd24a/Cd274/Cd28/Cd300a/Cd37/Cd3e/Cd3g/Cd44/Cd48/Cd74/Cd80/Cd83/Cd84/Cd86/Cd8a/Cd8b1/Clec2i/Clec4a2/Clec4a3/Clec4d/Clec4e/Clec4f/Coro1a/Ctla2a/Cxcr4/Cyp26b1/Cyrib/Dock2/Ebi3/Efnb2/Egr1/Elf4/Enpp1/F2rl1/Fcer1g/Fcho1/Fgl2/Fyn/Gimap3/Gja1/Gm5150/Gpnmb/H2-Aa/H2-Ab1/H2-DMa/H2-DMb1/H2-Eb1/H2-M3/Havcr2/Icos/Icosl/Ikzf1/Ikzf3/Il1a/Il1b/Il2rg/Il7r/Irf4/Itgal/Itgam/Itgb2/Itk/Laptm5/Lck/Lepr/Lfng/Lgals3/Lrrc32/Ly9/Msn/Nckap1l/Ncstn/Nkg7/Nlrp3/P2rx7/Patz1/Pf4/Pik3r6/Plxna1/Prdm1/Prex1/Psap/Ptger4/Ptpn22/Ptpn6/Ptprc/Pycard/Rab27a/Rac2/Rasgrp1/Rhoh/Ripk3/Rsad2/Runx1/Sash3/Sema6d/Sh2b3/Sirpa/Sirpb1a/Sirpb1b/Sirpb1c/Slamf6/Slamf7/Slamf9/Slc11a1/Slc7a1/Slfn1/Slfn2/Sox4/Spi1/Spn/Stx11/Syk/Tcf7/Tgfb1/Tgfbr2/Tnfaip8l2/Tnfrsf1b/Tnfrsf21/Tox/Trem2/Treml2/Tspan32/Tyrobp/Vav1/Vcam1/Vsig4/Vsir/Was/Wdfy4/Zfp36l2/Zfp608	145	Liver	Male	WT	Up
GO:0002764	immune response-regulating signaling pathway	132/1285	436/12665	0.302752293577982	2.9839360297005	14.1658069980881	1.09282173872173e-32	8.19304069258807e-30	5.7648400893772e-30	Acod1/Aim2/Akt1/App/Aurkb/Bcl2a1d/Blnk/Btk/C3ar1/C5ar1/Card11/Casp1/Casp4/Cd14/Cd22/Cd274/Cd28/Cd300a/Cd300lb/Cd300ld/Cd300lf/Cd38/Cd3e/Cd40/Cd79b/Cd86/Cd8a/Cd8b1/Clec2i/Clec4d/Clec4e/Clec4n/Clec7a/Cmklr1/Cmtm3/Cyba/F2rl1/Fcer1g/Fcgr1/Fcgr3/Fcgr4/Fcho1/Fcna/Fpr1/Fpr2/Fyb1/Fyn/Gbp2/Gbp5/H2-M3/Havcr2/Icosl/Ifi206/Ifi207/Ifi208/Ifi209/Ipo5/Irak3/Irf4/Irf7/Itgam/Itk/Kcnj8/Klhl6/Klrk1/Lair1/Laptm5/Lck/Lcp2/Lgals3/Lilra5/Lpxn/Ltf/Lyn/Mapkapk3/Mef2c/Mefv/Myo1g/Nckap1l/Nfam1/Nfkb1/Nlrp3/Oas1a/Oas1g/Oas3/Pde4d/Pira12/Pira2/Pirb/Plcg2/Ppt1/Pram1/Prkcb/Prkch/Ptpn22/Ptpn6/Ptprc/Pycard/Rab7b/Rftn1/Rnf125/Rnf144a/Rsad2/S100a8/S100a9/Scimp/Sec14l1/Sh2d1b1/Slc15a3/Slc39a6/Smpdl3a/Sting1/Syk/Themis2/Ticam2/Tifab/Tlr1/Tlr13/Tlr4/Tlr6/Tlr7/Tlr8/Tlr9/Tnf/Tnfaip3/Tnfrsf21/Trem2/Treml4/Trim30a/Tyrobp/Vav1/Vav3	132	Liver	Male	WT	Up
GO:0002694	regulation of leukocyte activation	141/1285	488/12665	0.288934426229508	2.84774669898578	13.9877569291856	1.80058734678223e-32	1.18118529948914e-29	8.3111321217264e-30	Adgrf5/Aif1/Anxa1/Arg2/Axl/Btk/Calhm2/Card11/Ccdc88b/Ccl2/Ccl5/Ccr2/Cd1d2/Cd22/Cd244a/Cd24a/Cd274/Cd28/Cd300a/Cd300lb/Cd300lf/Cd37/Cd38/Cd3e/Cd40/Cd44/Cd74/Cd80/Cd83/Cd84/Cd86/Clcf1/Clec2i/Clec4d/Clec7a/Coro1a/Csf1r/Ctla2a/Ctsc/Cx3cl1/Cyp26b1/Cyrib/Efnb2/Fcho1/Fgl2/Fgr/Gimap3/Gm5150/Gpnmb/Gpr137b/H2-Aa/H2-Ab1/H2-DMa/H2-DMb1/H2-Eb1/H2-M3/Havcr2/Icos/Icosl/Ikzf3/Il1a/Il1b/Il2rg/Il7r/Inpp5d/Irs2/Itgal/Klrk1/Laptm5/Lck/Lgals3/Lrrc32/Lst1/Lyn/Mef2c/Milr1/Mmp14/Mmp8/Nckap1l/Nedd9/Nfam1/Nlrp3/Pf4/Pik3r6/Pkn1/Pla2g4a/Prdm1/Prlr/Ptpn22/Ptpn6/Ptprc/Ptpre/Pycard/Rac2/Rasgrp1/Rhoh/Ripk3/Runx1/Samsn1/Sash3/Sh2b3/Sh3kbp1/Sirpa/Sirpb1a/Sirpb1b/Sirpb1c/Slamf7/Slamf8/Slc7a1/Slfn1/Sox4/Spi1/Spn/Syk/Tbc1d10c/Tcf7/Tgfb1/Tgfbr2/Thbs1/Themis2/Tlr4/Tlr6/Tlr9/Tnf/Tnfaip3/Tnfaip8l2/Tnfrsf13b/Tnfrsf1b/Tnfrsf21/Tnfsf13/Tox/Trem2/Tspan32/Tyrobp/Vav1/Vav3/Vcam1/Vsig4/Vsir/Zfp36l2/Zfp608	141	Liver	Male	WT	Up
GO:0006935	chemotaxis	112/1285	338/12665	0.331360946745562	3.2659038058619	14.1885169958506	1.07774091931104e-31	5.65598434454435e-29	3.97970015257172e-29	Abcc1/Aif1/Alox5/Ano6/Anxa1/App/Bin2/C3ar1/C5ar1/Ccl2/Ccl24/Ccl3/Ccl4/Ccl5/Ccl6/Ccr1/Ccr2/Ccr5/Ccrl2/Cd74/Cmklr1/Cmtm3/Cmtm7/Coro1a/Csf1r/Csf3r/Cx3cl1/Cxcl13/Cxcl14/Cxcl16/Cxcl9/Cxcr2/Cxcr3/Cxcr4/Cxcr6/Cyrib/Cysltr1/Dock2/Ear2/Ednra/Efnb2/F2rl1/Fcer1g/Fcgr3/Fgfr1/Flt1/Fpr1/Fpr2/Gpr35/Gpsm3/Hbegf/Hgf/Hmgb2/Il1b/Itga9/Itgam/Itgb2/Itgb3/Klrk1/Lgals3/Lgmn/Lrtm2/Lsp1/Lyn/Mmp2/Mmp9/Myo9b/Nckap1l/Nedd9/Notch1/Nrg1/Nrp2/Ntf3/P2ry12/Pde4d/Pdgfb/Pdgfra/Pf4/Pik3cd/Pik3cg/Pla2g7/Plekhg5/Ppbp/Prex1/Prkcd/Ptafr/Ptpro/Rac2/S100a4/S100a8/S100a9/Sell/Sema3b/Sema3f/Sema4c/Sema4d/Sema6d/Serpine1/Slamf8/Slamf9/Smoc2/Spi1/Stk39/Swap70/Syk/Tgfb1/Thbs1/Trem2/Trpm2/Vav1/Vav3/Vcam1	112	Liver	Male	WT	Up
GO:0042330	taxis	112/1285	338/12665	0.331360946745562	3.2659038058619	14.1885169958506	1.07774091931104e-31	5.65598434454435e-29	3.97970015257172e-29	Abcc1/Aif1/Alox5/Ano6/Anxa1/App/Bin2/C3ar1/C5ar1/Ccl2/Ccl24/Ccl3/Ccl4/Ccl5/Ccl6/Ccr1/Ccr2/Ccr5/Ccrl2/Cd74/Cmklr1/Cmtm3/Cmtm7/Coro1a/Csf1r/Csf3r/Cx3cl1/Cxcl13/Cxcl14/Cxcl16/Cxcl9/Cxcr2/Cxcr3/Cxcr4/Cxcr6/Cyrib/Cysltr1/Dock2/Ear2/Ednra/Efnb2/F2rl1/Fcer1g/Fcgr3/Fgfr1/Flt1/Fpr1/Fpr2/Gpr35/Gpsm3/Hbegf/Hgf/Hmgb2/Il1b/Itga9/Itgam/Itgb2/Itgb3/Klrk1/Lgals3/Lgmn/Lrtm2/Lsp1/Lyn/Mmp2/Mmp9/Myo9b/Nckap1l/Nedd9/Notch1/Nrg1/Nrp2/Ntf3/P2ry12/Pde4d/Pdgfb/Pdgfra/Pf4/Pik3cd/Pik3cg/Pla2g7/Plekhg5/Ppbp/Prex1/Prkcd/Ptafr/Ptpro/Rac2/S100a4/S100a8/S100a9/Sell/Sema3b/Sema3f/Sema4c/Sema4d/Sema6d/Serpine1/Slamf8/Slamf9/Smoc2/Spi1/Stk39/Swap70/Syk/Tgfb1/Thbs1/Trem2/Trpm2/Vav1/Vav3/Vcam1	112	Liver	Male	WT	Up
