pathway	pval	padj	ES	NES	collection	label	dataset	contrast	tissue	sex
HALLMARK_ADIPOGENESIS	0.936936936936937	0.956058098915242	0.169169655203267	0.79908775691537	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_ALLOGRAFT_REJECTION	1.12323823148318e-19	5.61619115741592e-18	-0.567369852091125	-2.79640440590645	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_ANDROGEN_RESPONSE	0.0791599353796446	0.123687399030695	0.30379895568283	1.29573057521771	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_ANGIOGENESIS	0.0134492577241244	0.0240165316502222	-0.440047348732616	-1.60799051543072	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_APICAL_JUNCTION	0.000272275573067133	0.000716514665966141	-0.327542250842083	-1.61241031701434	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_APICAL_SURFACE	0.0378425087165426	0.0630708478609044	-0.400815189698487	-1.49272568955134	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_APOPTOSIS	5.18337278972459e-06	1.99360491912484e-05	-0.386986586279171	-1.88996712071805	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_BILE_ACID_METABOLISM	0.885416666666667	0.922309027777778	-0.179913928146399	-0.805377282578401	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.00948885230684004	0.0182477928977693	-0.348063768459112	-1.49748388593721	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_COAGULATION	3.96477222314175e-14	6.60795370523625e-13	-0.571045936581746	-2.63193785753473	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_COMPLEMENT	1.44477244038117e-07	7.22386220190587e-07	-0.402253813647236	-1.98019705096266	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_DNA_REPAIR	1	1	-0.137761886440767	-0.669085417527443	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_E2F_TARGETS	9.24345245527865e-05	0.000256762568202185	0.356549322752065	1.68210831745216	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	9.4011343837861e-08	5.22285243543672e-07	-0.39176139434129	-1.94250712141411	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.546242774566474	0.636541249133422	-0.195473486074441	-0.965925490028429	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_ESTROGEN_RESPONSE_LATE	0.000545070860918686	0.00129778776409211	-0.32568180978449	-1.60279401318262	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_FATTY_ACID_METABOLISM	0.547425474254743	0.636541249133422	-0.196706397739199	-0.95345230143756	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_G2M_CHECKPOINT	5.20207488203738e-05	0.000153002202412864	0.363084604430857	1.7106360628708	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_GLYCOLYSIS	0.54380664652568	0.636541249133422	-0.192894860960365	-0.958675633925387	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_HEDGEHOG_SIGNALING	0.143859649122807	0.205513784461153	0.377834957310382	1.28472508324944	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_HEME_METABOLISM	0.495626822157434	0.619533527696793	-0.198733052098907	-0.983390567293325	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_HYPOXIA	0.633846153846154	0.72027972027972	-0.187014346192492	-0.927290704323572	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_IL2_STAT5_SIGNALING	0.00189544594271629	0.00379089188543258	-0.293183481925275	-1.45630044660613	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_IL6_JAK_STAT3_SIGNALING	7.65099141953521e-10	5.46499387109658e-09	-0.568136270338065	-2.45409008772161	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_INFLAMMATORY_RESPONSE	4.84639953136376e-13	4.84639953136376e-12	-0.495276170308329	-2.43111521144457	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.36702847397815e-13	2.95878559247269e-12	-0.586679267784954	-2.67194594804986	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_INTERFERON_GAMMA_RESPONSE	4.24580942633687e-18	1.06145235658422e-16	-0.529980391723901	-2.64882409410454	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_KRAS_SIGNALING_DN	0.0862533692722372	0.130686923139753	-0.269208286476312	-1.23332747583941	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_KRAS_SIGNALING_UP	5.8855971240015e-07	2.67527142000068e-06	-0.388709148161144	-1.92655325994501	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_MITOTIC_SPINDLE	3.48884395189918e-05	0.000109026373496849	0.358088208686525	1.68742347017071	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_MTORC1_SIGNALING	0.165912518853695	0.230434053963466	0.241718608406224	1.14194816968559	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_MYC_TARGETS_V1	3.37502846108317e-08	2.10939278817698e-07	0.41805882311221	1.97473764912518	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_MYC_TARGETS_V2	0.387858347386172	0.497254291520733	0.268804105740113	1.04867879607488	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_MYOGENESIS	0.00104678605166224	0.00227562185143966	-0.303088740965066	-1.51466672551587	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_NOTCH_SIGNALING	0.018149799864167	0.0312927583864948	-0.430735189775425	-1.55695150205727	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.135416666666667	0.199142156862745	0.248366243895985	1.16904899466888	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_P53_PATHWAY	1.3355804742629e-05	4.45193491420965e-05	-0.34636667422691	-1.73546164967569	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_PANCREAS_BETA_CELLS	0.730858468677494	0.794411378997276	-0.276921677022442	-0.822532352632113	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_PEROXISOME	0.810457516339869	0.862188847170074	0.196386624806949	0.831172564928597	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.183937823834197	0.248564626802969	-0.254161496036239	-1.15475575541063	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_PROTEIN_SECRETION	1.62942784311183e-06	6.78928267963264e-06	0.486646554418952	2.07962920430572	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1.15053547842884e-05	4.10905528010298e-05	-0.544841859452009	-2.16165944623763	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_SPERMATOGENESIS	0.0122403059675114	0.0226672332731693	0.378894015835187	1.53777648202461	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_TGF_BETA_SIGNALING	0.270935960591133	0.356494684988333	-0.277236231230842	-1.11493217979471	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.000938326308886186	0.00213255979292315	-0.304554393236423	-1.51162104689978	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.00146774822960971	0.0030578088116869	0.377403567165445	1.66087901671314	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_UV_RESPONSE_DN	0.0530421216848674	0.085551809169141	0.283587180612019	1.28195438814883	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_UV_RESPONSE_UP	0.000379302863369842	0.000948257158424606	-0.335933105391031	-1.61942422787225	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.72538860103627	0.794411378997276	0.23505026889884	0.839642099525921	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_XENOBIOTIC_METABOLISM	8.48972129628852e-11	7.0747677469071e-10	-0.458059040082485	-2.26348294921763	Hallmark	GXL_C1_Heart_female	GXL	C1	Heart	female
HALLMARK_ADIPOGENESIS	0.281767955801105	0.374097007223942	0.230627305747432	1.08223603224921	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_ALLOGRAFT_REJECTION	4.73494692188036e-15	7.89157820313393e-14	-0.519628914211444	-2.56882936504346	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_ANDROGEN_RESPONSE	0.0451713395638629	0.0941069574247144	0.325444122323076	1.36635392776678	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_ANGIOGENESIS	0.13216957605985	0.213176735580404	-0.352772710270369	-1.2784836056089	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_APICAL_JUNCTION	0.0259630560203909	0.0590069455008883	-0.264336653278828	-1.30776833909841	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_APICAL_SURFACE	0.606060606060606	0.644745325596389	-0.251263547780028	-0.917527959435404	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_APOPTOSIS	2.56442164374476e-05	0.000160276352734048	-0.369027727899729	-1.7900096961896	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_BILE_ACID_METABOLISM	0.75462962962963	0.786072530864198	0.203844105726029	0.852114749901962	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0403734216314679	0.0877683078944953	-0.325889743803746	-1.41951492211531	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_COAGULATION	0.00287207523942148	0.00897523512319212	-0.33496942994503	-1.5420857890213	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_COMPLEMENT	0.0011051048059925	0.00429592885981524	-0.311423782307528	-1.54072527397274	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_DNA_REPAIR	1	1	0.14275638711513	0.643404655931898	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_E2F_TARGETS	0.129346314325452	0.213176735580404	0.255954147229384	1.18982484118161	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.00111694150355196	0.00429592885981524	-0.307650581287812	-1.55273183607946	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.284313725490196	0.374097007223942	0.235049751602791	1.07753979817715	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_ESTROGEN_RESPONSE_LATE	0.496644295302013	0.564368517388652	-0.199874685941928	-0.985496098298341	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_FATTY_ACID_METABOLISM	0.465592972181552	0.564368517388652	0.223376074727695	0.996269284701262	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_G2M_CHECKPOINT	0.0142930725558268	0.0397029793217412	0.301908062474113	1.40358915776297	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_GLYCOLYSIS	0.58765778401122	0.638758460881761	0.205124567302609	0.947313355899846	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_HEDGEHOG_SIGNALING	0.154742096505824	0.234457721978521	0.382092867572067	1.28160783861246	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_HEME_METABOLISM	0.203102961918195	0.298680826350286	0.246527134885871	1.13288230032516	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_HYPOXIA	0.491549295774648	0.564368517388652	0.214075205783758	0.988476365813032	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_IL2_STAT5_SIGNALING	0.00210490954876699	0.00701636516255663	-0.298310304223951	-1.50054472013132	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_IL6_JAK_STAT3_SIGNALING	3.3254821387053e-06	2.3753443847895e-05	-0.473383113278663	-2.0687224452961	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_INFLAMMATORY_RESPONSE	3.67650085157206e-13	4.59562606446507e-12	-0.494405959403883	-2.44155816489101	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_INTERFERON_ALPHA_RESPONSE	6.33235737637416e-26	1.58308934409354e-24	-0.72396249171758	-3.31142980282428	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.79155955742468e-28	8.95779778712338e-27	-0.609712276989174	-3.09687091447446	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_KRAS_SIGNALING_DN	0.116071428571429	0.20012315270936	-0.260202136392717	-1.19880441284538	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_KRAS_SIGNALING_UP	0.000958233896355724	0.00429592885981524	-0.317305719777847	-1.594925796199	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_MITOTIC_SPINDLE	0.00533170560773766	0.0156814870815814	0.308376960276888	1.43737010002745	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_MTORC1_SIGNALING	0.0172783035544614	0.0453958261633961	0.295568266948002	1.38235688483533	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
