pathway	pval	padj	ES	NES	collection	label	dataset	contrast	tissue	sex
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.211169284467714	0.613645408888468	-0.27409377431985	-1.15274806254028	Reactome	GXL_C1_Liver_male	GXL	C1	Liver	male
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.297008547008547	0.703019693654267	0.374946940283273	1.11381096191359	Reactome	GXL_C1_Liver_male	GXL	C1	Liver	male
REACTOME_ABC_TRANSPORTER_DISORDERS	0.773618538324421	0.958313853825775	-0.206539219312884	-0.82521991330783	Reactome	GXL_C1_Liver_male	GXL	C1	Liver	male
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.532347504621072	0.861889612684947	-0.308160202547751	-0.958658361067844	Reactome	GXL_C1_Liver_male	GXL	C1	Liver	male
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.00305982533436158	0.0698196508113416	-0.622567414654528	-1.83464206970717	Reactome	GXL_C1_Liver_male	GXL	C1	Liver	male
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.0803571428571429	0.471804511278196	0.423322415543458	1.41067499214679	Reactome	GXL_C1_Liver_male	GXL	C1	Liver	male
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.0140891024298394	0.172505595604375	0.470169658709667	1.63512738236377	Reactome	GXL_C1_Liver_male	GXL	C1	Liver	male
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	0.905579399141631	0.993906019233814	0.211480862368872	0.670374680902093	Reactome	GXL_C1_Liver_male	GXL	C1	Liver	male
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.721491228070175	0.95025638568074	0.243583487831009	0.808721735703673	Reactome	GXL_C1_Liver_male	GXL	C1	Liver	male
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	0.908582089552239	0.993906019233814	-0.220330941345345	-0.660550835273411	Reactome	GXL_C1_Liver_male	GXL	C1	Liver	male
