ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	Tissue	Gender	group	direction
R-MMU-6798695	Neutrophil degranulation	126/775	421/6720	0.299287410926366	2.59511148570991	12.2045993841694	2.43890376462847e-26	2.04624025852329e-23	1.80478878582507e-23	Acp3/Adgre5/Aldh3b1/Alox5/Ampd3/Ano6/Apaf1/Arhgap9/Asah1/Atp8a1/C3ar1/C5ar1/Camp/Cap1/Cd14/Cd177/Cd300c2/Cd33/Cd44/Cd53/Cd63/Cd68/Cd93/Cfp/Chi3l1/Ckap4/Clec12a/Clec4d/Clec4n/Clec5a/Cotl1/Ctsb/Ctsc/Ctsd/Ctss/Cxcr2/Cyba/Cybb/Degs1/Dock2/Dynlt1a/Ear2/Elane/Fcer1g/Fcgr4/Fcna/Fgl2/Fgr/Folr2/Fpr1/Fpr2/Galns/Glipr1/Gm5150/Gusb/H2-M2/H2-M3/H2-Q1/H2-Q4/H2-Q6/Hexb/Hgsnat/Hk3/Hpse/Ifi204/Ifi205/Ifi211/Iqgap1/Itgal/Itgax/Itgb2/Kcnab2/Lair1/Lilra5/Lpcat1/Ltf/Lyz2/Mcemp1/Mmp8/Mmp9/Mpo/Nckap1l/Ncstn/Nfam1/Nfkb1/Npc2/Pecam1/Pira12/Pira2/Pirb/Pkm/Plac8/Plaur/Plekho2/Ppbp/Prcp/Prkcd/Psap/Ptafr/Ptpn6/Ptprc/Pycard/Pygb/Rab27a/Rab31/Rap1b/Rap2b/S100a8/S100a9/Sell/Serpina3f/Serpinb1a/Serpinb6a/Siglece/Sirpa/Slc11a1/Slc2a3/Slc44a2/Sting1/Stk10/Tbc1d10c/Ticam2/Tnfrsf1b/Tollip/Trpm2/Tyrobp	126	Liver	Male	WT	Up
R-MMU-372790	Signaling by GPCR	89/775	310/6720	0.287096774193548	2.48940686784599	9.69376364732707	2.39105707430998e-17	1.00304844267304e-14	8.84691117494694e-15	Abr/Adcy1/Adcy7/Adgre1/Adgre5/Adrb2/Akt1/Akt3/Anxa1/App/Arhgef2/Arhgef6/Arhgef7/Arrb1/Btk/C3ar1/C5ar1/Camkk1/Ccl3/Ccl4/Ccl5/Ccl6/Ccr1/Ccr5/Ccrl2/Cmklr1/Cx3cl1/Cxcl13/Cxcl16/Cxcl9/Cxcr2/Cxcr3/Cxcr4/Cxcr6/Cysltr1/Dgkd/Ect2/Ednra/F2rl1/Ffar4/Fgd2/Fpr1/Fpr2/Glp2r/Gng2/Gngt2/Gpr35/Gpr55/Gpr65/Gpsm3/Grk2/Grk6/Hbegf/Itpr3/Kng2/Mapk7/P2ry10/P2ry12/P2ry13/P2ry14/P2ry6/Pde4d/Pf4/Pik3cg/Pik3r5/Pik3r6/Pla2g4a/Plcb2/Plekhg5/Plppr1/Ppbp/Ppp2cb/Prex1/Prkar1b/Prkcd/Prkch/Psap/Ptafr/Ptger2/Ptger4/Rgs1/Rgs12/Rgs19/Rgs2/Rgs4/Rgs5/Rhoc/Vav1/Vav3	89	Liver	Male	WT	Up
R-MMU-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	35/775	70/6720	0.5	4.33548387096774	10.1280138040825	1.53267183423439e-15	4.28637222974218e-13	3.78059052444483e-13	Cd22/Cd300a/Cd300c2/Cd300e/Cd300lb/Cd33/Cd3e/Cd3g/Cd40/Cd8a/Cd8b1/Fcgr4/H2-M2/H2-M3/H2-Q1/H2-Q4/H2-Q6/Hcst/Ifitm1/Itgal/Itgb2/Itgb7/Klrk1/Lair1/Pianp/Pilra/Sell/Siglec1/Siglece/Slamf6/Slamf7/Trem2/Treml2/Treml4/Tyrobp	35	Liver	Male	WT	Up
R-MMU-388396	GPCR downstream signalling	82/775	293/6720	0.279863481228669	2.42668721787956	9.0154139568439	2.48855080468433e-15	5.21973531282537e-13	4.603818988666e-13	Abr/Adcy1/Adcy7/Adrb2/Akt1/Akt3/Anxa1/App/Arhgef2/Arhgef6/Arhgef7/Arrb1/Btk/C3ar1/C5ar1/Camkk1/Ccl4/Ccl5/Ccl6/Ccr1/Ccr5/Cx3cl1/Cxcl13/Cxcl16/Cxcl9/Cxcr2/Cxcr3/Cxcr4/Cxcr6/Cysltr1/Dgkd/Ect2/Ednra/F2rl1/Ffar4/Fgd2/Fpr1/Fpr2/Glp2r/Gng2/Gngt2/Gpr55/Gpr65/Gpsm3/Grk2/Grk6/Hbegf/Itpr3/Kng2/Mapk7/P2ry10/P2ry12/P2ry13/P2ry14/P2ry6/Pde4d/Pf4/Pik3cg/Pik3r5/Pik3r6/Pla2g4a/Plcb2/Plekhg5/Ppbp/Ppp2cb/Prex1/Prkar1b/Prkcd/Prkch/Psap/Ptafr/Ptger2/Ptger4/Rgs1/Rgs12/Rgs19/Rgs2/Rgs4/Rgs5/Rhoc/Vav1/Vav3	82	Liver	Male	WT	Up
R-MMU-109582	Hemostasis	106/775	435/6720	0.24367816091954	2.1129254727475	8.66533410974594	5.66896674065147e-15	9.51252619081316e-13	8.39007077616417e-13	Abcc4/Actg1/Akt1/Anxa5/Apbb1ip/App/Arrb1/Atp1b3/Atp2a3/Cd177/Cd244a/Cd44/Cd48/Cd63/Cd74/Cd84/Cenpe/Clec1b/Clu/Cyrib/Dgkd/Dock1/Dock10/Dock11/Dock2/Dok2/Esam/F13a1/Fcer1g/Fermt3/Fgr/Fyn/Gm5150/Gng2/Gngt2/Hgf/Inpp5d/Itgal/Itgax/Itgb2/Itgb3/Itpr3/Jam2/Jchain/Kif20a/Kif21b/Kif23/Kif2c/Kifc1/Kng2/Lck/Lcp2/Lyn/P2rx7/P2ry12/Pcdh7/Pdgfb/Pecam1/Pf4/Pik3cg/Pik3r5/Pik3r6/Pla2g4a/Plaur/Plcg2/Plek/Ppbp/Ppp2cb/Prcp/Prkar1b/Prkcb/Prkcd/Prkch/Procr/Psap/Ptpn6/Rac2/Racgap1/Rap1b/Rasgrp1/Sdc3/Sell/Serpina3f/Serpinb6a/Sh2b3/Sirpa/Slc16a3/Slc7a5/Slc7a6/Slc7a7/Slc7a8/Slc8a1/Spn/Srgn/Syk/Tagln2/Tgfb1/Thbd/Timp3/Tmsb4x/Tor4a/Trf/Vav1/Vav3/Vwf/Wdr1	106	Liver	Male	WT	Up
R-MMU-373076	Class A/1 (Rhodopsin-like receptors)	41/775	113/6720	0.36283185840708	3.14610333999429	8.30644016703417	4.02021689387293e-12	5.62160328993232e-10	4.95826750244329e-10	Adrb2/Anxa1/App/C3ar1/C5ar1/Ccl3/Ccl4/Ccl5/Ccl6/Ccr5/Ccrl2/Cmklr1/Cx3cl1/Cxcl13/Cxcl16/Cxcl9/Cxcr2/Cxcr3/Cxcr4/Cxcr6/Cysltr1/Ednra/F2rl1/Fpr1/Fpr2/Gpr35/Gpr55/Gpr65/Kng2/P2ry10/P2ry12/P2ry13/P2ry14/P2ry6/Pf4/Plppr1/Ppbp/Psap/Ptafr/Ptger2/Ptger4	41	Liver	Male	WT	Up
R-MMU-202733	Cell surface interactions at the vascular wall	36/775	94/6720	0.382978723404255	3.32079615648593	8.18092572876449	1.36696566903746e-11	1.36030592460115e-09	1.19979306818218e-09	Atp1b3/Cd177/Cd244a/Cd44/Cd48/Cd74/Cd84/Dok2/Esam/Fcer1g/Fyn/Gm5150/Inpp5d/Itgal/Itgax/Itgb2/Itgb3/Jam2/Jchain/Lck/Lyn/Pecam1/Pf4/Procr/Ptpn6/Sdc3/Sell/Sirpa/Slc16a3/Slc7a5/Slc7a6/Slc7a7/Slc7a8/Spn/Tgfb1/Thbd	36	Liver	Male	WT	Up
R-MMU-418594	G alpha (i) signalling events	45/775	136/6720	0.330882352941176	2.86907020872865	7.95018803743926	1.4163709704857e-11	1.36030592460115e-09	1.19979306818218e-09	Adcy1/Adcy7/Anxa1/App/C3ar1/C5ar1/Camkk1/Ccl4/Ccl5/Ccl6/Ccr1/Ccr5/Cx3cl1/Cxcl13/Cxcl16/Cxcl9/Cxcr2/Cxcr3/Cxcr4/Cxcr6/Fpr1/Fpr2/Gng2/Gngt2/Gpr55/Gpsm3/Grk2/Kng2/P2ry12/P2ry13/P2ry14/Pde4d/Pf4/Pla2g4a/Plcb2/Ppbp/Ppp2cb/Prkar1b/Prkcd/Psap/Rgs1/Rgs12/Rgs19/Rgs4/Rgs5	45	Liver	Male	WT	Up
R-MMU-500792	GPCR ligand binding	46/775	141/6720	0.326241134751773	2.82882635552505	7.92372377191634	1.45920778562698e-11	1.36030592460115e-09	1.19979306818218e-09	Adgre1/Adgre5/Adrb2/Anxa1/App/C3ar1/C5ar1/Ccl3/Ccl4/Ccl5/Ccl6/Ccr5/Ccrl2/Cmklr1/Cx3cl1/Cxcl13/Cxcl16/Cxcl9/Cxcr2/Cxcr3/Cxcr4/Cxcr6/Cysltr1/Ednra/F2rl1/Fpr1/Fpr2/Glp2r/Gng2/Gngt2/Gpr35/Gpr55/Gpr65/Kng2/P2ry10/P2ry12/P2ry13/P2ry14/P2ry6/Pf4/Plppr1/Ppbp/Psap/Ptafr/Ptger2/Ptger4	46	Liver	Male	WT	Up
R-MMU-76002	Platelet activation, signaling and aggregation	58/775	220/6720	0.263636363636364	2.28598240469208	7.00191655625561	5.11894881627075e-10	4.29479805685116e-08	3.78802212404036e-08	Abcc4/Actg1/Akt1/Anxa5/Apbb1ip/App/Arrb1/Cd63/Clec1b/Clu/Cyrib/Dgkd/F13a1/Fcer1g/Fermt3/Fyn/Gng2/Gngt2/Hgf/Itgb3/Itpr3/Kng2/Lck/Lcp2/Lyn/P2ry12/Pcdh7/Pdgfb/Pecam1/Pf4/Pik3cg/Pik3r5/Pik3r6/Pla2g4a/Plcg2/Plek/Ppbp/Prkcb/Prkcd/Prkch/Psap/Ptpn6/Rac2/Rap1b/Rasgrp1/Serpina3f/Srgn/Syk/Tagln2/Tgfb1/Timp3/Tmsb4x/Tor4a/Trf/Vav1/Vav3/Vwf/Wdr1	58	Liver	Male	WT	Up
R-MMU-375276	Peptide ligand-binding receptors	26/775	62/6720	0.419354838709677	3.63621227887617	7.52890071754325	9.7221666034888e-10	7.41536161847919e-08	6.5403666241652e-08	Anxa1/App/C3ar1/C5ar1/Ccl3/Ccl4/Ccl5/Ccl6/Ccr5/Ccrl2/Cx3cl1/Cxcl13/Cxcl16/Cxcl9/Cxcr2/Cxcr3/Cxcr4/Cxcr6/Ednra/F2rl1/Fpr1/Fpr2/Kng2/Pf4/Ppbp/Psap	26	Liver	Male	WT	Up
R-MMU-2172127	DAP12 interactions	20/775	43/6720	0.465116279069767	4.03300825206302	7.20351349169865	9.86538365922994e-09	6.8975474084116e-07	6.08365325652513e-07	Btk/Cd300e/Cd300lb/Clec5a/Fyn/Gm5150/Grap2/H2-M2/H2-M3/H2-Q1/H2-Q4/H2-Q6/Klrk1/Lck/Lcp2/Plcg2/Syk/Trem2/Tyrobp/Vav3	20	Liver	Male	WT	Up
